epoch;accuracy;loss
0;0.4826105833053589;2.3294360637664795
1;0.48911306262016296;2.289902925491333
2;0.49499326944351196;2.257953405380249
3;0.49926355481147766;2.219327449798584
4;0.5060857534408569;2.185948133468628
5;0.5122799277305603;2.155409812927246
6;0.5169441103935242;2.126136541366577
7;0.52261883020401;2.0922763347625732
8;0.527916669845581;2.064756393432617
9;0.5334771871566772;2.033261775970459
10;0.5395572185516357;2.0033419132232666
11;0.5433822274208069;1.9753180742263794
12;0.5478466153144836;1.947981595993042
13;0.5533785223960876;1.9218355417251587
14;0.5600865483283997;1.8903871774673462
15;0.565424382686615;1.8628032207489014
16;0.5688669085502625;1.8375649452209473
17;0.5745929479598999;1.812253475189209
18;0.5789888501167297;1.7883392572402954
19;0.5828137993812561;1.7677435874938965
20;0.5831848978996277;1.7610175609588623
21;0.5894019603729248;1.7320221662521362
22;0.5933011174201965;1.7039445638656616
23;0.5988445281982422;1.680213212966919
24;0.6037256717681885;1.6603310108184814
25;0.6016761660575867;1.6579967737197876
26;0.6087324023246765;1.6249862909317017
27;0.6130198240280151;1.6071465015411377
28;0.6148466467857361;1.5881168842315674
29;0.6179523468017578;1.5748182535171509
30;0.6220341920852661;1.5539143085479736
31;0.6227421164512634;1.5451983213424683
32;0.6298383474349976;1.5153127908706665
33;0.6339088082313538;1.4974650144577026
34;0.6371172070503235;1.4771348237991333
35;0.638624370098114;1.4655870199203491
36;0.6420211791992188;1.4508681297302246
37;0.6413931846618652;1.4530678987503052
38;0.6441734433174133;1.436684012413025
39;0.6451325416564941;1.430567979812622
40;0.6323502659797668;1.4927613735198975
41;0.6483067274093628;1.4165112972259521
42;0.6485921740531921;1.4113353490829468
43;0.640850841999054;1.4424426555633545
44;0.6512240171432495;1.3924949169158936
45;0.652611255645752;1.3933205604553223
46;0.6570071578025818;1.3621420860290527
47;0.6632184982299805;1.3404502868652344
48;0.6693726778030396;1.3126497268676758
49;0.6680596470832825;1.3167508840560913
50;0.6758180856704712;1.2809646129608154
51;0.6627902984619141;1.338289737701416
52;0.6753842234611511;1.2788077592849731
53;0.6802482008934021;1.2601728439331055
54;0.6779646277427673;1.2649022340774536
55;0.6827658414840698;1.2463003396987915
56;0.6869961619377136;1.2232685089111328
57;0.6838334202766418;1.2349820137023926
58;0.6886803507804871;1.2138257026672363
59;0.6880637407302856;1.2102855443954468
60;0.6896451115608215;1.2051682472229004
61;0.6912208199501038;1.2004280090332031
62;0.6961818933486938;1.1765429973602295
63;0.7017766237258911;1.1513251066207886
64;0.7023817896842957;1.1440701484680176
65;0.7036948204040527;1.142274260520935
66;0.6857858896255493;1.2107436656951904
67;0.6974092721939087;1.1619572639465332
68;0.7033922672271729;1.1411283016204834
69;0.709712028503418;1.1159205436706543
70;0.7004920840263367;1.1473610401153564
71;0.7146845459938049;1.0916999578475952
72;0.7072229385375977;1.121299147605896
73;0.7136683464050293;1.0949594974517822
74;0.7135884165763855;1.0884678363800049
75;0.7151297926902771;1.0821497440338135
76;0.6913749575614929;1.1789463758468628
77;0.6947089433670044;1.1635375022888184
78;0.7117501497268677;1.0990862846374512
79;0.717299222946167;1.0727934837341309
80;0.7135884165763855;1.0907433032989502
81;0.7135427594184875;1.0873801708221436
82;0.7152611017227173;1.0781673192977905
83;0.7300758361816406;1.0164271593093872
84;0.7335468530654907;1.004903793334961
85;0.7322794795036316;1.012244701385498
86;0.7307380437850952;1.0111109018325806
87;0.7320168614387512;1.0066522359848022
88;0.7344774007797241;0.9969167113304138
89;0.7266275882720947;1.0262318849563599
90;0.7424756288528442;0.9656131863594055
91;0.7388333082199097;0.9709681272506714
92;0.731194794178009;1.0064982175827026
93;0.7335696816444397;0.9967526793479919
94;0.7339807152748108;0.9932769536972046
95;0.7431721091270447;0.9566771984100342
96;0.7049907445907593;1.1194205284118652
97;0.7337180972099304;0.9900414943695068
98;0.7481845617294312;0.9317768216133118
99;0.7528201937675476;0.914060115814209
0;0.753082811832428;0.9116971492767334
1;0.7346886396408081;0.9939283728599548
2;0.7430522441864014;0.9512763023376465
3;0.7405459880828857;0.9598321914672852
4;0.7507307529449463;0.9224663972854614
5;0.754818320274353;0.8975064158439636
6;0.7591742873191833;0.8842278718948364
7;0.7303041815757751;1.000913381576538
8;0.7483615279197693;0.9296054244041443
9;0.7382510304450989;0.9682234525680542
10;0.7397638559341431;0.9613614678382874
11;0.7568449974060059;0.8890279531478882
12;0.7662590742111206;0.852964460849762
13;0.7644093632698059;0.8621843457221985
14;0.7457582354545593;0.9344427585601807
15;0.7391758561134338;0.960013747215271
16;0.7648318409919739;0.8598378896713257
17;0.7672067284584045;0.8442869782447815
18;0.749075174331665;0.9210944771766663
19;0.7493377923965454;0.921442985534668
0;0.7261937260627747;1.0249643325805664
1;0.7372062802314758;0.9674901962280273
2;0.7603389024734497;0.8722053170204163
3;0.7675892114639282;0.8443537354469299
4;0.7751592993736267;0.8185800909996033
5;0.7742458581924438;0.8203449845314026
6;0.7671039700508118;0.8435419201850891
7;0.6960790753364563;1.1729658842086792
8;0.6185460686683655;1.5047813653945923
9;0.6668893098831177;1.2688744068145752
10;0.6910266876220703;1.1603974103927612
11;0.7040944695472717;1.1073596477508545
12;0.60328608751297;1.5619654655456543
13;0.6517834663391113;1.3330552577972412
14;0.6752814650535583;1.2326897382736206
15;0.6935100555419922;1.1533048152923584
16;0.7073656916618347;1.089809536933899
17;0.7228996753692627;1.0254018306732178
18;0.7343403697013855;0.9736180901527405
19;0.7367210388183594;0.964079737663269
20;0.7409855723381042;0.9514800310134888
21;0.6852720975875854;1.2184412479400635
22;0.6884862184524536;1.1857671737670898
23;0.7074741125106812;1.1009774208068848
24;0.7198682427406311;1.0426113605499268
25;0.7281119227409363;1.0037418603897095
26;0.7359046339988708;0.9727737903594971
27;0.7359502911567688;0.9758076667785645
28;0.7528088092803955;0.9090390205383301
29;0.7595909833908081;0.8803075551986694
30;0.763307511806488;0.8590983748435974
31;0.7670925259590149;0.8444263339042664
32;0.773144006729126;0.8256719708442688
33;0.7733609676361084;0.8190745711326599
34;0.7743657231330872;0.8162314891815186
35;0.7762097120285034;0.8086111545562744
36;0.7743257880210876;0.8177691698074341
37;0.7647061944007874;0.8537099361419678
38;0.7222431302070618;1.0431814193725586
39;0.7146445512771606;1.0598840713500977
40;0.729915976524353;0.9973472356796265
41;0.7555833458900452;0.8878272771835327
42;0.7661677002906799;0.8397905230522156
43;0.7697243690490723;0.830762505531311
44;0.7755760550498962;0.8050798177719116
45;0.7798691391944885;0.7874017357826233
46;0.7780251502990723;0.8006301522254944
47;0.7713971138000488;0.8208762407302856
48;0.7762268781661987;0.8047977685928345
49;0.7295448780059814;1.0004048347473145
